,Grad,Opstina,Naselje,Ulica,Tip,Kvadratura,Broj soba,Grejanje,Sprat,Ukupna spratnost,Cena,Od centra
41,Beograd,Rakovica,Labudovo brdo,17 oktobra,Stan,32.0,1,TA,1,4,30000,7.499237591
42,Beograd,Rakovica,Petlovo brdo,17 oktobra,Stan,33.0,1.5,Mermerni radijatori,1,3,30000,7.499237591
43,Beograd,Rakovica,Labudovo brdo,17 oktobra,Stan,22.0,0.5,EG,1,4,23000,7.499237591
44,Beograd,Rakovica,Labudovo brdo,17 oktobra,Stan,22.0,0.5,EG,1,4,23000,7.499237591
45,Beograd,Voždovac,Naselje Stepa Stepanovi?,2. srpske armije,Stan,76.0,2,CG,6,6,76500,5.644466532999999
46,Beograd,Voždovac,Naselje Stepa Stepanovi?,2. srpske armije,Stan,83.0,3,CG,5,6,88000,5.644466532999999
47,Beograd,Zemun,Centar,22 oktobar,Stan,52.0,2.5,CG,5,5,58000,4.4772359239999995
48,Beograd,Zemun,Centar,22. oktobra,Stan,52.0,3,CG,5,5,58000,4.4772359239999995
49,Beograd,Zemun,Centar,22. oktobra,Stan,76.0,3,TA,3,3,96000,4.4772359239999995
50,Beograd,Zemun,Centar,22. oktobra,Stan,76.0,3,TA,3,3,96000,4.4772359239999995
51,Beograd,Palilula,Tašmajdan,27. marta,Stan,70.0,3,TA,4,4,115000,1.155198625
52,Beograd,Palilula,Poštanska štedionica,27. marta,Stan,78.0,2.5,TA,4,4,115000,1.155198625
53,Beograd,Palilula,Poštanska štedionica,27. marta,Stan,97.0,3.5,CG,2,17,160000,1.155198625
54,Beograd,Palilula,Palilulska pijaca,27. marta,Stan,70.0,3,CG,3,16,109000,1.155198625
55,Beograd,Palilula,Palilulska pijaca,27. marta,Stan,60.0,2,CG,1,12,80000,1.155198625
56,Beograd,Palilula,Palilulska pijaca,27. marta,Stan,70.0,3,CG,3,16,109000,1.155198625
57,Beograd,Palilula,Krnja?a,3. sutjeska,Stan,41.0,1.5,EG,PR,3,24900,7.720221496000001
58,Beograd,Rakovica,Kanarevo brdo,6. licke divizije,Stan,96.0,3,EG,1,2,85000,7.8794753889999996
59,Beograd,Rakovica,Kanarevo brdo,6. licke divizije,Stan,96.0,3,EG,1,2,85000,7.8794753889999996
60,Beograd,Palilula,Kotež,7 sutjeska,Stan,39.0,2,Norveški radijatori,2,3,24000,3.0878868130000003
61,Beograd,Palilula,Kotež,7 sutjeska,Stan,41.0,2,TA,1,3,34500,3.0878868130000003
62,Beograd,Palilula,Bor?a,7. jula,Stan,38.0,1,EG,3,3,29000,110.14187820000001
63,Beograd,Palilula,Kotež,3. sutjeska,Stan,25.0,0.5,TA,3,3,19000,7.720221496000001
64,Beograd,Palilula,Kotež,3. sutjeska,Stan,25.0,0.5,TA,3,3,19000,7.720221496000001
65,Beograd,?ukarica,Železnik,8. mart,Stan,47.0,1.5,CG,6,9,36000,9.563246166
66,Beograd,?ukarica,Železnik,8. mart,Stan,77.0,3,CG,9,9,39000,9.563246166
67,Beograd,?ukarica,Železnik,8. mart,Stan,17.0,0.5,CG,PR,9,14500,9.563246166
68,Beograd,Savski venac,Centar,admirala geprata,Stan,76.0,2,CG,4,6,140000,0.630540374
69,Beograd,Zemun,Cara Dušana,alaska,Stan,40.0,1,CG,4,4,36000,6.58405601
70,Beograd,Zvezdara,Mirijevo,aleksandra belica,Stan,72.0,2.5,CG,5,5,64900,7.2078114939999995
71,Beograd,Zvezdara,Mirijevo,aleksandra belica,Stan,72.0,2.5,CG,5,5,64900,7.2078114939999995
72,Beograd,Zvezdara,Mirijevo,aleksandra belica,Stan,46.0,1,CG,2,5,39000,7.2078114939999995
73,Beograd,?ukarica,Filmski grad,ane ahmetove,Stan,56.0,2,CG,1,5,69000,5.319703206
74,Beograd,?ukarica,Filmski grad,ane ahmetove,Stan,56.0,2,CG,1,5,69000,5.319703206
75,Beograd,Novi Beograd,Arena,antofasisticke borbe,Stan,86.0,3,CG,1,7,139000,2.841751393
76,Beograd,?ukarica,Filmski grad,arcibalda rajsa,Stan,20.0,0.5,EG,2,2,18900,5.60118814
77,Beograd,?ukarica,Filmski grad,arcibalda rajsa,Stan,20.0,0.5,EG,2,2,18900,5.60118814
78,Beograd,Zemun,Altina,abebe bikile,Stan,48.0,2,EG,2,3,42000,5.319703206
79,Beograd,Zemun,Altina,abebe bikile,Stan,48.0,2,EG,2,3,42000,5.319703206
80,Beograd,Zemun,Altina,abebe bikile,Stan,48.0,2,EG,2,3,42000,5.319703206
81,Beograd,Zemun,Altina,abebe bikile,Stan,48.0,2,EG,2,3,42000,5.319703206
82,Beograd,?ukarica,Cerak,ace joksimovica,Stan,60.0,2,TA,2,2,56900,5.796049712
83,Beograd,?ukarica,Žarkovo,ace joksimovica,Stan,60.0,2,CG,2,2,56900,5.796049712
84,Beograd,?ukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,52000,5.796049712
85,Beograd,?ukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,54000,5.796049712
86,Beograd,?ukarica,Žarkovo,ace joksimovica,Stan,48.0,1.5,Gas,PR,4,52000,5.796049712
87,Beograd,?ukarica,Cerak,ace joksimovica,Stan,60.0,2.5,EG,VPR,2,70000,5.796049712
88,Beograd,Savski venac,Centar,admirala geprata,Stan,60.0,2,TA,5,6,95000,0.630540374
89,Beograd,Savski venac,Centar,admirala geprata,Stan,75.0,2,CG,6,7,130000,0.630540374
90,Beograd,Savski venac,Centar,admirala geprata,Stan,62.0,2.5,CG,5,6,98000,0.630540374
91,Beograd,Voždovac,Autokomanda,admirala vukovica,Stan,111.0,3,CG,3,5,212500,2.6888765
